date,site,PM10,PM25,month,year,days_per_month
2015-06-26T12:00:00Z,Ashburton,16.8,NA,6,2015,30
2015-06-27T12:00:00Z,Ashburton,27.4,NA,6,2015,30
2015-06-28T12:00:00Z,Ashburton,27.1,NA,6,2015,30
2015-06-29T12:00:00Z,Ashburton,24.6,NA,6,2015,30
2015-06-30T12:00:00Z,Ashburton,33,NA,7,2015,31
2015-07-01T12:00:00Z,Ashburton,29.3,NA,7,2015,31
2015-07-02T12:00:00Z,Ashburton,19.7,NA,7,2015,31
2015-07-03T12:00:00Z,Ashburton,17.3,NA,7,2015,31
2015-07-04T12:00:00Z,Ashburton,22.8,NA,7,2015,31
2015-07-05T12:00:00Z,Ashburton,20,NA,7,2015,31
2015-07-06T12:00:00Z,Ashburton,37.8,NA,7,2015,31
2015-07-07T12:00:00Z,Ashburton,14.8,NA,7,2015,31
2015-07-08T12:00:00Z,Ashburton,12.2,NA,7,2015,31
2015-07-09T12:00:00Z,Ashburton,32.3,NA,7,2015,31
2015-07-10T12:00:00Z,Ashburton,39.6,NA,7,2015,31
2015-07-11T12:00:00Z,Ashburton,48.7,NA,7,2015,31
2015-07-12T12:00:00Z,Ashburton,44.7,NA,7,2015,31
2015-07-13T12:00:00Z,Ashburton,35.7,NA,7,2015,31
2015-07-14T12:00:00Z,Ashburton,14.4,NA,7,2015,31
2015-07-15T12:00:00Z,Ashburton,20.3,NA,7,2015,31
2015-07-16T12:00:00Z,Ashburton,17.3,NA,7,2015,31
2015-07-17T12:00:00Z,Ashburton,18.3,NA,7,2015,31
2015-07-18T12:00:00Z,Ashburton,17.2,NA,7,2015,31
2015-07-19T12:00:00Z,Ashburton,22.6,NA,7,2015,31
2015-07-20T12:00:00Z,Ashburton,38.1,NA,7,2015,31
2015-07-21T12:00:00Z,Ashburton,49.6,NA,7,2015,31
2015-07-22T12:00:00Z,Ashburton,31.2,NA,7,2015,31
2015-07-23T12:00:00Z,Ashburton,35.4,NA,7,2015,31
2015-07-24T12:00:00Z,Ashburton,14.4,NA,7,2015,31
2015-07-25T12:00:00Z,Ashburton,16.1,NA,7,2015,31
2015-07-26T12:00:00Z,Ashburton,12.8,NA,7,2015,31
2015-07-27T12:00:00Z,Ashburton,10.7,NA,7,2015,31
2015-07-28T12:00:00Z,Ashburton,17.4,NA,7,2015,31
